ID,Year,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,magnitude,damages,death,missing,injuries
5242,1996,4,24,8,0,0,46.73,7.97,0.5,0,0,0,0
2263,1996,6,10,4,3,35.4, AK,51.564,87,0,0,0,0
2264,1996,6,10,15,24,56, AK,51.478,87,0,0,0,0
2265,1996,9,4,18,16,1.9,31.555,139.931,0.3,0,0,0,0
2266,1996,9,5,8,14,14.4,-22.118,-113.436,0.09,0,0,0,0
2267,1996,10,18,10,50,20.8,30.568,131.093,0.2,0,0,0,0
2268,1996,10,19,14,44,40.7,31.885,131.468,0.55,0,0,0,0
2269,1996,11,12,16,59,44,-14.993,-75.675,0.4,0,0,0,0
2270,1996,12,2,22,17,59.2,31.789,131.314,0.2,0,0,0,0
5416,1997,4,10,0,0,0,13.1,-87.6,15,0.3,0,0,0
3032,1997,4,18,0,0,0,0,0,0,0,0,0,0
2273,1997,4,21,12,2,26.4,-12.584,166.676,3,0,0,0,0
2274,1997,7,9,19,24,13.1,10.598,-63.486,0,0,0,0,0
3034,1997,9,30,6,27,24.7,31.959,141.878,0.03,0,0,0,0
2275,1997,10,14,9,53,18.1,-22.1,-176.77,0.1,0,0,0,0
2277,1997,12,5,11,26,54.6,54.841,162.035,8,0,0,0,0
2278,1997,12,14,3,30,0,54.841,162.035,8,0,0,0,0
2279,1997,12,26,8,0,0,16.72,-62.18,3,0,0,0,0
4247,1998,3,19,18,30,0,61.183,5.267,6,0,0,0,0
2587,1998,3,25,3,12,25,-62.877,149.527,0.01,0,0,0,0
2280,1998,5,3,23,30,21.9,22.306,125.308,0.13,0,0,0,0
2281,1998,7,17,8,49,16.1,-2.943,142.582,15.03,0,2205,1000,28
2588,1998,11,29,14,10,31.9,,-2.071,83,0,0,0,0
2880,1999,1,20,0,0,0,16.722,-62.18,2,0,0,0,0
2326,1999,8,17,0,1,39.1, TURKEY,40.76,50,0,0,3,0
3229,1999,9,13,0,0,0,-10.52,-138.67,8,0,0,0,0
2339,1999,11,26,13,21,15.5,-16.423,168.214,6.6,0,5,0,0
2350,2000,1,26,0,0,0, PHILIPPINES,5.1,84,0,0,0,3
2922,2000,4,5,4,36,59.8,34.22,25.69,0.5,0,0,0,0
2338,2000,5,4,4,21,16.2,-1.105,123.573,6,0,0,0,0
2341,2000,6,18,14,44,13.3,-13.802,97.453,0.3,0,0,0,0
2340,2000,7,1,7,1,55.5, HONSHU,34.221,85,0,0,0,0
3508,2000,7,15,1,30,30.5,34.319,139.26,0.07,0,0,0,0
3509,2000,7,30,12,25,45.5,33.901,139.376,0.14,0,0,0,0
